Subj,Block,Type,Stim,Corr,Trial,Resp,RT,Succ,TrialType,TrialTypeInt
sub-11,Block2,Fix2,stimuli/Small/7.jpg,left,57,left,11.3161651959999,1,Fix2-14,14
sub-11,Block2,Fix1,stimuli/Old/50.jpg,right,58,right,0.833725067001069,1,Fix1-23,23
sub-11,Block2,Fix2,stimuli/Small/2.jpg,left,59,right,2.77817117000086,0,Fix2-15,15
sub-11,Block2,Fix1,stimuli/Old/48.jpg,right,60,right,0.649149790002411,1,Fix1-24,24
sub-11,Block2,Cond,stimuli/Sad/46.jpg,left,61,left,0.824559245000273,1,Cond-23,23
sub-11,Block2,Cond,stimuli/Sad/18.jpg,right,62,left,1.85957501399753,0,Cond-24,24
sub-11,Block2,Cond,stimuli/Sad/1.jpg,left,63,left,2.11920835700221,1,Cond-25,25
sub-11,Block2,Fix1,stimuli/Old/22.jpg,right,64,right,1.12099676999787,1,Fix1-25,25
sub-11,Block2,Fix2,stimuli/Small/59.jpg,left,65,right,1.23942329499914,0,Fix2-16,16
sub-11,Block2,Fix1,stimuli/Old/31.jpg,right,66,right,2.95297863199812,1,Fix1-26,26
sub-11,Block2,Fix2,stimuli/Small/37.jpg,left,67,left,3.23855390200333,1,Fix2-17,17
sub-11,Block2,Fix2,stimuli/Small/60.jpg,left,68,right,2.44105169700197,0,Fix2-18,18
sub-11,Block2,Fix2,stimuli/Small/21.jpg,left,69,right,2.82237088799957,0,Fix2-19,19
sub-11,Block2,Fix2,stimuli/Small/43.jpg,left,70,right,2.89880979699956,0,Fix2-20,20
sub-11,Block2,Fix2,stimuli/Small/29.jpg,left,71,right,0.998479485002463,0,Fix2-21,21
sub-11,Block2,Cond,stimuli/Sad/22.jpg,right,72,left,1.0436296830012,0,Cond-26,26
sub-11,Block2,Cond,stimuli/Sad/9.jpg,left,73,left,0.782441114999529,1,Cond-27,27
sub-11,Block2,Fix1,stimuli/Old/25.jpg,right,74,right,0.76728218000062,1,Fix1-27,27
sub-11,Block2,Fix2,stimuli/Small/46.jpg,left,75,left,2.13346551500217,1,Fix2-22,22
